"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","ID:8 -- 选项","testcases","Wed Aug 06 10:38:55 CST 2025","passed","Wed Aug 06 10:38:56 CST 2025","TestRunner","test_runner","",""
"","49","ID:2 -- 获取登录信息成功","testcases","Wed Aug 06 10:38:55 CST 2025","passed","Wed Aug 06 10:38:55 CST 2025","TestRunner","test_runner","",""
"","110","ID:7 -- 搜索","testcases","Wed Aug 06 10:38:55 CST 2025","passed","Wed Aug 06 10:38:55 CST 2025","TestRunner","test_runner","",""
"","112","ID:6 -- 获取设备树信息","testcases","Wed Aug 06 10:38:55 CST 2025","passed","Wed Aug 06 10:38:55 CST 2025","TestRunner","test_runner","",""
"","172","ID:10 -- jyadmin用户登录后退出成功","testcases","Wed Aug 06 10:38:56 CST 2025","passed","Wed Aug 06 10:38:56 CST 2025","TestRunner","test_runner","",""
"","433","ID:5 -- 告警信息-已读信息上报","testcases","Wed Aug 06 10:38:55 CST 2025","passed","Wed Aug 06 10:38:55 CST 2025","TestRunner","test_runner","",""
"","54","ID:4 -- 告警信息-主页面查询","testcases","Wed Aug 06 10:38:55 CST 2025","passed","Wed Aug 06 10:38:55 CST 2025","TestRunner","test_runner","",""
"","331","ID:1 -- 获取token成功","testcases","Wed Aug 06 10:38:54 CST 2025","passed","Wed Aug 06 10:38:55 CST 2025","TestRunner","test_runner","",""
"","126","ID:3 -- 显示更多公告","testcases","Wed Aug 06 10:38:55 CST 2025","passed","Wed Aug 06 10:38:55 CST 2025","TestRunner","test_runner","",""
"","128","ID:9 -- 获取设备树信息","testcases","Wed Aug 06 10:38:56 CST 2025","passed","Wed Aug 06 10:38:56 CST 2025","TestRunner","test_runner","",""
